"Editar en masa Items"
"Barcode","Has Item Scanned","Item Code","Item Name","Item Group","Warehouse","Quantity","Stock UOM","Valuation Rate","Amount","Allow Zero Valuation Rate","Use Serial No / Batch Fields","Reconcile All Serial Nos / Batches","Serial / Batch Bundle","Current Serial / Batch Bundle","Serial No","Batch No","Current Qty","Current Amount","Current Valuation Rate","Current Serial No","Quantity Difference","Amount Difference"
"barcode","has_item_scanned","item_code","item_name","item_group","warehouse","qty","stock_uom","valuation_rate","amount","allow_zero_valuation_rate","use_serial_batch_fields","reconcile_all_serial_batch","serial_and_batch_bundle","current_serial_and_batch_bundle","serial_no","batch_no","current_qty","current_amount","current_valuation_rate","current_serial_no","quantity_difference","amount_difference"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"El formato CSV es sensible a mayúsculas y minúsculas"
"No edite los encabezados que están preestablecidos en la plantilla"
"------"
